id,Name,Status,Species,Type,Gender,Origin,Location,Image,No_of_episode
195,Kristen Stewart,Alive,Human,,Female,Earth (C-500A),Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/195.jpeg,1
196,Krombopulos Michael,Dead,Alien,Gromflomite,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/196.jpeg,1
197,Kyle,Dead,Humanoid,Miniverse inhabitant,Male,Zeep Xanflorp's Miniverse,Kyle's Teenyverse,https://rickandmortyapi.com/api/character/avatar/197.jpeg,1
198,Lady Katana,Dead,Humanoid,Cyborg,Female,unknown,Dorian 5,https://rickandmortyapi.com/api/character/avatar/198.jpeg,1
199,Larva Alien,Alive,Alien,Larva alien,unknown,Larva Alien's Planet,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/199.jpeg,3
200,Lawyer Morty,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/200.jpeg,1
201,Leonard Smith,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/201.jpeg,1
202,Lighthouse Keeper,Dead,Alien,Cat-Person,Male,Purge Planet,Purge Planet,https://rickandmortyapi.com/api/character/avatar/202.jpeg,1
203,Lil B,Dead,Alien,Snail alien,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/203.jpeg,2
204,Lisa,Dead,Alien,,Female,unknown,Immortality Field Resort,https://rickandmortyapi.com/api/character/avatar/204.jpeg,1
205,Little Dipper,Alive,Humanoid,Tinymouth,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/205.jpeg,1
206,Lizard Morty,Alive,Humanoid,Lizard-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/206.jpeg,1
207,Loggins,Alive,Alien,Alligator-Person,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/207.jpeg,3
208,Logic,Alive,Human,,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/208.jpeg,1
209,Long Sleeved Morty,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/209.jpeg,1
210,Lucy,Dead,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/210.jpeg,1
211,Ma-Sha,Alive,Alien,Gazorpian,Female,Gazorpazorp,Gazorpazorp,https://rickandmortyapi.com/api/character/avatar/211.jpeg,1
212,Magma-Q,Dead,Alien,Alphabetrian,Male,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/212.jpeg,1
213,Magnesium-J,Alive,Alien,Alphabetrian,Male,Alphabetrium,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/213.jpeg,1
214,Man Painted Silver Who Makes Robot Noises,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/214.jpeg,1
215,Maximums Rickimus,Dead,Human,,Male,unknown,Rick's Memories,https://rickandmortyapi.com/api/character/avatar/215.jpeg,3
216,MC Haps,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/216.jpeg,3
217,Mechanical Morty,Dead,Robot,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/217.jpeg,1
218,Mechanical Rick,unknown,Robot,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/218.jpeg,1
219,Mechanical Summer,unknown,Robot,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/219.jpeg,1
220,Mega Fruit Farmer Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/220.jpeg,1
221,Melissa,Alive,Mythological Creature,Monster,Female,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/221.jpeg,1
222,Michael Denny and the Denny Singers,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/222.jpeg,1
223,Michael Jenkins,Dead,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/223.jpeg,1
224,Michael McLick,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/224.jpeg,1
225,Michael Thompson,Alive,Humanoid,Conjoined twin,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/225.jpeg,1
226,Million Ants,Dead,Animal,Sentient ant colony,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/226.jpeg,1
227,Mitch,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/227.jpeg,1
228,Mohawk Guy,Dead,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/228.jpeg,1
229,Morty Mart Manager Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/229.jpeg,1
230,Morty Jr.,Alive,Humanoid,Human Gazorpian,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/230.jpeg,1
231,Morty Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/231.jpeg,1
232,Morty Smith,Alive,Human,,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/232.jpeg,1
233,Morty K-22,Alive,Human,,Male,Earth (K-22),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/233.jpeg,1
234,Morty Smith,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/234.jpeg,1
235,Mortytown Loco,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/235.jpeg,1
236,Mr. Beauregard,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/236.jpeg,1
237,Mr. Benson,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/237.jpeg,1
238,Mr. Booby Buyer,Alive,Mythological Creature,Boobie buyer reptilian,Male,Fantasy World,Fantasy World,https://rickandmortyapi.com/api/character/avatar/238.jpeg,1
239,Mr. Goldenfold,Alive,Cronenberg,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/239.jpeg,4
240,Mr. Goldenfold,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/240.jpeg,10
241,Mr. Marklovitz,Alive,Human,,Male,Earth (C-137),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/241.jpeg,2
242,Mr. Meeseeks,unknown,Humanoid,Meeseeks,Male,Mr. Meeseeks Box,Earth (Fascist Dimension),https://rickandmortyapi.com/api/character/avatar/242.jpeg,5
243,Mr. Needful,Alive,Humanoid,The Devil,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/243.jpeg,1
244,Mr. Poopybutthole,Alive,Poopybutthole,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/244.jpeg,7
245,Mrs. Lipkip,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/245.jpeg,1
246,Mrs. Pancakes,Alive,Human,,Female,Earth (C-137),Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/246.jpeg,2
247,Amy Poopybutthole,Alive,Poopybutthole,,Female,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/247.jpeg,1
248,Mrs. Refrigerator,Dead,Alien,Parasite,Female,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/248.jpeg,1
249,Mrs. Sanchez,unknown,Human,,Female,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/249.jpeg,4
250,Mrs. Sullivan,Dead,Human,Cat controlled dead lady,Female,Earth (C-500A),Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/250.jpeg,1
251,Nancy,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/251.jpeg,6
252,Noob-Noob,Alive,Poopybutthole,,Male,unknown,Vindicator's Base,https://rickandmortyapi.com/api/character/avatar/252.jpeg,1
253,Numbericon,unknown,Alien,Numbericon,unknown,unknown,Alphabetrium,https://rickandmortyapi.com/api/character/avatar/253.jpeg,1
254,Octopus Man,Alive,Humanoid,Octopus-Person,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/254.jpeg,1
255,Orthodox Jew,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/255.jpeg,1
256,Pat Gueterman,Dead,Robot,,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/256.jpeg,1
257,Paul Fleishman,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/257.jpeg,1
258,Pawnshop Clerk,Alive,Alien,,Male,unknown,Pawn Shop Planet,https://rickandmortyapi.com/api/character/avatar/258.jpeg,1
259,Pencilvester,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/259.jpeg,1
260,Phillip Jacobs,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/260.jpeg,1
261,Photography Cyborg,unknown,Robot,,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/261.jpeg,1
262,Photography Raptor,Dead,Alien,Parasite,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/262.jpeg,1
263,Pibbles Bodyguard,Alive,Alien,Hairy alien,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/263.jpeg,1
264,Pichael Thompson,Alive,Humanoid,Conjoined twin,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/264.jpeg,1
265,Pickle Rick,Alive,unknown,Pickle,Male,Earth (C-137),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/265.jpeg,1
266,Piece of Toast,Alive,unknown,Bread,Genderless,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/266.jpeg,2
267,Plumber Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/267.jpeg,1
268,Poncho,Dead,Human,,Male,unknown,Anatomy Park,https://rickandmortyapi.com/api/character/avatar/268.jpeg,1
269,Presidentress of The Mega Gargantuans,Alive,Humanoid,Mega Gargantuan,Female,Mega Gargantuan Kingdom,Mega Gargantuan Kingdom,https://rickandmortyapi.com/api/character/avatar/269.jpeg,1
270,Prince Nebulon,Dead,Alien,Zigerion,Male,unknown,Zigerion's Base,https://rickandmortyapi.com/api/character/avatar/270.jpeg,1
271,Principal Vagina,Alive,Cronenberg,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/271.jpeg,3
272,Principal Vagina,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/272.jpeg,6
273,Purge Planet Ruler,Dead,Alien,Cat-Person,Male,Purge Planet,Purge Planet,https://rickandmortyapi.com/api/character/avatar/273.jpeg,1
274,Quantum Rick,unknown,Human,,Male,unknown,Rick's Memories,https://rickandmortyapi.com/api/character/avatar/274.jpeg,3
275,Randy Dicknose,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/275.jpeg,1
276,Rat Boss,Dead,Animal,Rat,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/276.jpeg,1
277,Real Fake Doors Salesman,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/277.jpeg,1
278,Regional Manager Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/278.jpeg,1
279,Regular Legs,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/279.jpeg,1
280,Reverse Giraffe,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/280.jpeg,1
281,Reverse Rick Outrage,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/281.jpeg,1
282,Revolio Clockberg Jr.,unknown,Alien,Gear-Person,Male,Gear World,Gear World,https://rickandmortyapi.com/api/character/avatar/282.jpeg,3
283,Rick D. Sanchez III,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/283.jpeg,1
284,Rick Guilt Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/284.jpeg,1
285,Rick Prime,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/285.jpeg,2
286,Rick D-99,Dead,Human,,Male,Earth (D-99),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/286.jpeg,1
287,Rick D716,Dead,Human,,Male,Earth (D716),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/287.jpeg,1
288,Rick D716-B,Alive,Human,,Male,Earth (D716-B),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/288.jpeg,1
289,Rick D716-C,Alive,Human,,Male,Earth (D716-C),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/289.jpeg,1
290,Rick Sanchez,Dead,Human,,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/290.jpeg,1
291,Rick J-22,Alive,Human,,Male,Earth (J-22),Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/291.jpeg,1
292,Rick K-22,Alive,Human,,Male,Earth (K-22),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/292.jpeg,1
293,Rick Sanchez,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/293.jpeg,1
294,Ricktiminus Sancheziminius,Dead,Human,,Male,unknown,Rick's Memories,https://rickandmortyapi.com/api/character/avatar/294.jpeg,3
295,Riq IV,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/295.jpeg,3
296,Risotto Groupon,Dead,Alien,Blue ape alien,Male,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/296.jpeg,1
297,Risotto's Tentacled Henchman,Dead,Alien,Tentacle alien,Male,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/297.jpeg,1
298,Robot Morty,unknown,Robot,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/298.jpeg,1
299,Robot Rick,unknown,Robot,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/299.jpeg,1
300,Roger,Dead,Human,,Male,Earth (C-137),Anatomy Park,https://rickandmortyapi.com/api/character/avatar/300.jpeg,1
301,Ron Benson,Alive,Alien,Ring-nippled alien,Male,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/301.jpeg,1
302,Ruben,Dead,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/302.jpeg,1
303,Samantha,Alive,Human,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/303.jpeg,1
304,Scary Brandon,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/304.jpeg,1
305,Scary Glenn,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/305.jpeg,1
306,Scary Terry,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/306.jpeg,1
307,Scroopy Noopers,Alive,Alien,Plutonian,Male,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/307.jpeg,1
308,Scropon,unknown,Alien,Lobster-Alien,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/308.jpeg,2
309,Scrotian,Alive,Animal,Scrotian,Male,unknown,Signus 5 Expanse,https://rickandmortyapi.com/api/character/avatar/309.jpeg,4
310,Self-Congratulatory Jerry,unknown,Mythological Creature,Mytholog,Male,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/310.jpeg,1
311,Shimshamian,Alive,Alien,Shimshamian,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/311.jpeg,3
312,Shlaammi,Alive,Alien,,unknown,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/312.jpeg,1
313,Shleemypants,Alive,unknown,Omniscient being,Male,unknown,Snake Planet,https://rickandmortyapi.com/api/character/avatar/313.jpeg,2
314,Shmlamantha Shmlicelli,Alive,Human,,Female,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/314.jpeg,1
315,Shmlangela Shmlobinson-Shmlower,Alive,Human,,Female,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/315.jpeg,1
316,Shmlona Shmlobinson,Alive,Human,,Female,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/316.jpeg,1
317,Shmlonathan Shmlower,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/317.jpeg,1
318,Shmlony Shmlicelli,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/318.jpeg,1
319,Shmooglite Runner,unknown,Alien,Animal,Male,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/319.jpeg,1
320,Shnoopy Bloopers,unknown,Alien,,Male,unknown,Immortality Field Resort,https://rickandmortyapi.com/api/character/avatar/320.jpeg,1
321,Shrimply Pibbles,Alive,Alien,,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/321.jpeg,1
322,Simple Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/322.jpeg,1
323,Slaveowner,Dead,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/323.jpeg,1
324,Sleepy Gary,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/324.jpeg,1
325,Slick Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/325.jpeg,1
326,Slippery Stair,Alive,Mythological Creature,Slug,Male,Fantasy World,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/326.jpeg,2
327,Slow Mobius,Alive,Humanoid,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/327.jpeg,1
328,Slow Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/328.jpeg,1
329,Snuffles (Snowball),Alive,Animal,Dog,Male,Earth (C-137),unknown,https://rickandmortyapi.com/api/character/avatar/329.jpeg,8
330,Solicitor Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/330.jpeg,2
331,Squanchy,unknown,Alien,Cat-Person,Male,Planet Squanch,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/331.jpeg,3
332,Stacy,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/332.jpeg,1
333,Stair Goblin,Alive,Mythological Creature,Stair goblin,Genderless,unknown,Fantasy World,https://rickandmortyapi.com/api/character/avatar/333.jpeg,3
334,Stealy,Alive,Poopybutthole,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/334.jpeg,1
335,Steve,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/335.jpeg,1
336,Steven Phillips,Alive,Alien,Unknown-nippled alien,Male,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/336.jpeg,1
337,Stu,Dead,Alien,Zigerion,Male,unknown,Zigerion's Base,https://rickandmortyapi.com/api/character/avatar/337.jpeg,1
338,Summer Smith,Alive,Human,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/338.jpeg,7
339,Summer Smith,Alive,Human,,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/339.jpeg,1
340,Supernova,Alive,Human,Superhuman,Female,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/340.jpeg,1
341,Taddy Mason,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/341.jpeg,1
342,Taint Washer,Alive,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/342.jpeg,1
343,Tammy Guetermann,Alive,Cronenberg,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/343.jpeg,2
344,Tammy Guetermann,Dead,Human,,Female,Earth (Replacement Dimension),NX-5 Planet Remover,https://rickandmortyapi.com/api/character/avatar/344.jpeg,5
345,Teacher Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/345.jpeg,1
346,Terry,unknown,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/346.jpeg,1
347,President Curtis,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/347.jpeg,5
348,The President of the Miniverse,Dead,Humanoid,Miniverse inhabitant,Male,Zeep Xanflorp's Miniverse,Zeep Xanflorp's Miniverse,https://rickandmortyapi.com/api/character/avatar/348.jpeg,1
349,The Scientist Formerly Known as Rick,Dead,Human,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/349.jpeg,1
350,Thomas Lipkip,unknown,Human,,Male,Earth (Replacement Dimension),Froopyland,https://rickandmortyapi.com/api/character/avatar/350.jpeg,1
351,Three Unknown Things,Alive,Alien,,unknown,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/351.jpeg,1
352,Tinkles,Dead,Alien,Parasite,Female,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/352.jpeg,1
353,Tiny Rick,Dead,Human,Clone,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/353.jpeg,1
354,Toby Matthews,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/354.jpeg,1
355,Todd Crystal,Alive,Alien,Unknown-nippled alien,Male,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/355.jpeg,1
356,Tom Randolph,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/356.jpeg,1
357,Tommy's Clone,Alive,Human,Clone,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/357.jpeg,1
358,Tophat Jones,Dead,Mythological Creature,Leprechaun,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/358.jpeg,3
359,Tortured Morty,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/359.jpeg,1
360,Toxic Morty,Dead,Humanoid,Morty's toxic side,Male,Detoxifier,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/360.jpeg,1
361,Toxic Rick,Dead,Humanoid,Rick's toxic side,Male,Detoxifier,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/361.jpeg,1
362,Traflorkian,Alive,Alien,Traflorkian,unknown,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/362.jpeg,5
363,Trandor,Alive,Alien,Krootabulan,Male,Krootabulon,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/363.jpeg,1
364,Tree Person,Dead,Humanoid,Teenyverse inhabitant,unknown,Kyle's Teenyverse,Kyle's Teenyverse,https://rickandmortyapi.com/api/character/avatar/364.jpeg,1
365,Tricia Lange,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/365.jpeg,5
366,Trunk Morty,Alive,Humanoid,Trunk-Person,Male,Trunk World,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/366.jpeg,1
367,Trunk Man,Alive,Humanoid,Trunk-Person,Male,Trunk World,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/367.jpeg,2
368,Truth Tortoise,unknown,Mythological Creature,Omniscient being,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/368.jpeg,1
369,Tusked Assassin,unknown,Alien,Tuskfish,Male,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/369.jpeg,1
370,Two Guys with Handlebar Mustaches,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/370.jpeg,1
371,Tumblorkian,Alive,Alien,Tumblorkian,Male,Plopstar,Plopstar,https://rickandmortyapi.com/api/character/avatar/371.jpeg,1
372,Unity,Alive,Alien,Hivemind,Genderless,unknown,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/372.jpeg,1
373,Unmuscular Michael,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/373.jpeg,1
374,Vampire Master,Alive,Mythological Creature,Vampire,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/374.jpeg,1
375,Vance Maximus,Dead,Human,,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/375.jpeg,1
376,Veronica Ann Bennet,Alive,Alien,Gazorpian,Female,Gazorpazorp,Gazorpazorp,https://rickandmortyapi.com/api/character/avatar/376.jpeg,1
377,Voltematron,Dead,Alien,Parasite,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/377.jpeg,1
378,Wall Crawling Rick,unknown,Humanoid,Lizard-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/378.jpeg,1
379,Wedding Bartender,unknown,Alien,,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/379.jpeg,1
380,Unknown Rick,unknown,Human,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/380.jpeg,2
381,Woman Rick,Alive,Alien,Chair,Female,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/381.jpeg,1
382,Worldender,Dead,Alien,,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/382.jpeg,1
383,Yaarb,Alive,Alien,,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/383.jpeg,1
384,Yellow Headed Doctor,Alive,Alien,,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/384.jpeg,1
385,Yellow Shirt Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/385.jpeg,1
386,Zarbadar Gloonch,Dead,Alien,Drumbloxian,Female,unknown,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/386.jpeg,2
